Text,Cleaned_Text,Sentiment_Label,Sentiment_Score
"Having tried a couple of other brands of gluten-free sandwich cookies, these are the best of the bunch.  They're crunchy and true to the texture of the other ""real"" cookies that aren't gluten-free.  Some might think that the filling makes them a bit too sweet, but for me that just means I've satisfied my sweet tooth sooner!  The chocolate version from Glutino is just as good and has a true ""chocolatey"" taste - something that isn't there with the other gluten-free brands out there.",tried couple brand gluten free sandwich cooky best bunch crunchy true texture real cooky gluten free might think filling make bit sweet mean satisfied sweet tooth sooner chocolate version glutino good true chocolatey taste something gluten free brand,NEGATIVE,0.803048849
"My cat loves these treats. If ever I can't find her in the house, I just pop the top and she bolts out of wherever she was hiding to come get a treat. She doesn't like crunchy treats much, so these are perfect for her. I've given her all three flavors and she seems to like them all equally. They do tend to dry out by the time I near the end of the bottle, however. The flip-top lid is very handy. Very nice, inexpensive kitty treats. I have yet to meet a cat that doesn't just love these!",cat love treat ever find house pop top bolt wherever hiding come get treat like crunchy treat much perfect given three flavor seems like equally tend dry time near end bottle however flip top lid handy nice inexpensive kitty treat yet meet cat love,POSITIVE,0.991516113
A little less than I expected.  It tends to have a muddy taste - not what I expected since they said it was the favorite of the company.,little less expected tends muddy taste expected since said favorite company,NEGATIVE,0.972777426
"First there was Frosted Mini-Wheats, in original size, then there was Frosted Mini-Wheats Bite Size. Well, if for some reason those were too much of a mouthful, we now have Frosted Mini-Wheats Little Bits. Yes, these are about half the size of the Bite Size versions. This particular one is ""Cinnamon Roll"".<br /><br />There is nothing new to the table here with the exception of size, which I is unnecessary. Personally, I like original flavor and size the best. But the Bite Size edition were accommodating. These come off as a desperate attempt to give attention to a brand that needs some sort of life put back into it and all they came up with was making them smaller and having a new flavor, which is actually too sweet for me.<br /><br />A serving size is approximately 47 biscuits. Thats 1 gram of polyunsaturated fat, 46 grams of carbohydrates, 6g fiber, 12g of sugar, 5g of protein and 200mg of potassium. Generally they look good but I guess those that are watching their carb intake might want to be careful.<br /><br />These probably fit on a spoon better than its predecessors in a bowl of milk, but I like the other kinds cause they snack better without the milk. But here, these small ones are easily to snack more than you should.<br /><br />I am grading this product 2 stars for 3 reasons 1) I dont think making them smaller has any reason for existing outside of Kellogs filling the shelves with more versions of something that was fine to begin with. 2) This flavor, Cinnamon Roll, is sweet and has a synthetic taste to it. 3) On the plus side, I like Mini-Wheats in general, so it saved it from being one star.",first frosted mini wheat original size frosted mini wheat bite size well reason much mouthful frosted mini wheat little bit yes half size bite size version particular one cinnamon roll br br nothing new table exception size unnecessary personally like original flavor size best bite size edition accommodating come desperate attempt give attention brand need sort life put back came making smaller new flavor actually sweet br br serving size approximately 47 biscuit thats 1 gram polyunsaturated fat 46 gram carbohydrate 6g fiber 12g sugar 5g protein 200mg potassium generally look good guess watching carb intake might want careful br br probably fit spoon better predecessor bowl milk like kind cause snack better without milk small one easily snack br br grading product 2 star 3 reason 1 dont think making smaller reason existing outside kellogs filling shelf version something fine begin 2 flavor cinnamon roll sweet synthetic taste 3 plus side like mini wheat general saved one star,NEGATIVE,0.988608599
"and I want to congratulate the graphic artist for putting the entire product name on such a small box.  The ad men must have really thought long and hard.<br /><br />But seriously, I love the product. The taste was refreshing and I thought that the taste was pleasing with no aftertaste.  Not too sweet and Goldilocks would have stopped right there if there was a choice of 3.  Easy to use as you just pour the contents into a 16 oz bottle of water and shake.  Mixed well, no granulation, you really couldn't ask for anything more and Lipton like a good drug dealer knows what they are doing, give me a taste for free and have me for life.  5 stars.",want congratulate graphic artist putting entire product name small box ad men must really thought long hard br br seriously love product taste refreshing thought taste pleasing aftertaste sweet goldilocks would stopped right choice 3 easy use pour content 16 oz bottle water shake mixed well granulation really ask anything lipton like good drug dealer know give taste free life 5 star,POSITIVE,0.958890498
"Please add more Pineapple flavor to your packages of lifesavers, in fact, can you sell pineapple flavor by itself?",please add pineapple flavor package lifesaver fact sell pineapple flavor,POSITIVE,0.996865094
I absolutely love Yorkshire tea and am so glad it is now available on Amazon!  A cup of this full-bodied black tea with milk in the morning is how I start each day and just love it!,absolutely love yorkshire tea glad available amazon cup full bodied black tea milk morning start day love,POSITIVE,0.998619318
I have such a hard time finding loose tea locally. Being able to order my favorite Lady Grey tea on Amazon is convenient and timesaving. The tea comes in a six-pack of tins that are just the right size to insure continued freshness. Speedy shipping too!,hard time finding loose tea locally able order favorite lady grey tea amazon convenient timesaving tea come six pack tin right size insure continued freshness speedy shipping,POSITIVE,0.902137816
"Previously, I've attempted a recipe with white rice noodles and overcooked them, which made them soggy. So I was determined not to overcook these brown rice noodles. I tried making two dishes. The first was a miso soup with brown rice noodles, which was really just broth with miso and green onions and the noodles added when it was hot. The noodles softened and puffed up, but I think I should of softened them in water and maybe rinsed them first. The broth ended up being a little starchy from the noodles, but it was pretty good.<br /><br />The noodles by themselves don't really have any flavor, they just take on the flavor of whatever dish they are in. So the rice noodles in miso probably wasn't the best idea because the mild miso flavor didn't really give the noodles much flavor. I also tried stir frying the noodles which was much better. I just soaked the noodles in hot water, for about a minute, and then drained them. They came out clear and kind of crunchy. Then I stir fried them with garlic, onion, salt, and coconut oil. I also added some vinegar and nama shoyu for flavor. These noodles came out crunchy and spicy and actually were pretty good.<br /><br />The nice thing about these noodles is they only need about a minute in warm water and then they can be fried or added to soups or other dishes, so they are fairly versatile. They are also gluten free and the brown rice noodles seem more firm than the white rice noodles. As another reviewer posted it does look like these noodles are made in Singapore.",previously attempted recipe white rice noodle overcooked made soggy determined overcook brown rice noodle tried making two dish first miso soup brown rice noodle really broth miso green onion noodle added hot noodle softened puffed think softened water maybe rinsed first broth ended little starchy noodle pretty good br br noodle really flavor take flavor whatever dish rice noodle miso probably best idea mild miso flavor really give noodle much flavor also tried stir frying noodle much better soaked noodle hot water minute drained came clear kind crunchy stir fried garlic onion salt coconut oil also added vinegar nama shoyu flavor noodle came crunchy spicy actually pretty good br br nice thing noodle need minute warm water fried added soup dish fairly versatile also gluten free brown rice noodle seem firm white rice noodle another reviewer posted look like noodle made singapore,NEGATIVE,0.804000556
"I make pancakes or waffles every Saturday morning with my kids, and there simply is no comparison between this product and any other baking powder I have come across. Even the more expensive brands from Trader Joe's or Whole Foods pale in comparison. Batter comes out light and fluffy every time, and my kids love them. I have also been known to eat a pancake or two. Get the pack of 6 and store up.",make pancake waffle every saturday morning kid simply comparison product baking powder come across even expensive brand trader joe whole food pale comparison batter come light fluffy every time kid love also known eat pancake two get pack 6 store,NEGATIVE,0.988155723
